Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,City,Region,Distance_KM,Pickup_Delay_Minutes,Demand_Pressure,Festival,Is_Monsoon
SYN2024010100590,28,4.7,22.651299,75.947252,22.768096,75.831594,2024-01-01,20:24:12,20:38:12,Stormy,High,motorcycle,Metropolitian,59,Skincare,Indore,Central,11.87,14,0.909,None,False
SYN2024010100327,33,4.9,12.886938,77.65635,13.001453,77.917974,2024-01-01,22:12:52,22:26:52,Sandstorms,Jam,motorcycle,Metropolitian,134,Home,Bengaluru,South,28.35,14,0.909,None,False
SYN2024010100054,36,4.4,22.559022,88.423682,22.556253,88.449314,2024-01-01,20:59:09,21:14:09,Fog,High,motorcycle,Metropolitian,84,Home,Kolkata,East,2.63,15,0.909,None,False
SYN2024010100667,28,4.7,22.840909,75.916875,22.860089,75.870065,2024-01-01,19:18:25,19:31:25,Stormy,Medium,scooter,Metropolitian,57,Outdoors,Indore,Central,4.8,13,0.909,None,False
SYN2024010100380,31,4.8,17.321247,78.513303,17.44852,78.48744,2024-01-01,22:53:11,23:13:11,Sandstorms,Jam,motorcycle,Urban,69,Outdoors,Hyderabad,South,2.76,20,0.909,None,False
SYN2024010100166,27,4.9,20.360554,85.726267,20.29924,85.695808,2024-01-01,22:06:51,22:11:51,Sunny,Low,motorcycle,Urban,35,Apparel,Bhubaneswar,East,3.18,5,0.909,None,False
SYN2024010100355,24,4.6,12.925468,77.781628,12.978045,77.941517,2024-01-01,18:58:10,19:01:10,Sandstorms,Low,motorcycle,Metropolitian,79,Cosmetics,Bengaluru,South,17.33,3,0.909,None,False
SYN2024010100581,30,4.6,12.93998,77.620519,12.822025,77.653367,2024-01-01,17:00:30,17:09:30,Sandstorms,Low,motorcycle,Metropolitian,61,Skincare,Bengaluru,South,3.57,9,0.909,None,False
SYN2024010100789,26,4.7,17.296989,78.411377,17.39812,78.6027,2024-01-01,08:59:55,09:06:55,Windy,Low,motorcycle,Urban,86,Sports,Hyderabad,South,20.31,7,0.909,None,False
SYN2024010100117,36,5.0,22.533977,88.191418,22.506164,88.095133,2024-01-01,17:11:02,17:31:02,Fog,Jam,scooter,Urban,85,Toys,Kolkata,East,9.89,20,0.909,None,False
SYN2024010100052,32,4.9,20.282807,85.754411,20.469369,85.725943,2024-01-01,11:00:46,11:09:46,Cloudy,Low,motorcycle,Other,52,Skincare,Bhubaneswar,East,2.99,9,0.909,None,False
SYN2024010100364,33,4.2,13.084827,80.263103,13.106519,80.257114,2024-01-01,19:06:53,19:21:53,Windy,Jam,motorcycle,Metropolitian,66,Pet Supplies,Chennai,South,0.65,15,0.909,None,False
SYN2024010100151,36,4.5,23.309191,77.331222,23.415103,77.283032,2024-01-01,21:06:32,21:16:32,Fog,Medium,motorcycle,Metropolitian,77,Kitchen,Bhopal,Central,4.92,10,0.909,None,False
SYN2024010100122,30,5.0,26.903621,75.751302,26.998043,75.732017,2024-01-01,11:51:50,12:00:50,Stormy,Low,motorcycle,Metropolitian,60,Toys,Jaipur,North,1.92,9,0.909,None,False
SYN2024010100767,29,4.5,28.597597,77.271999,28.703285,77.148025,2024-01-01,14:52:18,15:05:18,Stormy,High,motorcycle,Metropolitian,93,Sports,Delhi,North,12.1,13,0.909,None,False
