Order_Date,Actual_Demand,Predicted_Demand
2025-08-13,937,1040
2025-08-14,999,991
2025-08-15,1190,1044
2025-08-16,867,1057
2025-08-17,888,955
2025-08-18,937,952
2025-08-19,940,973
2025-08-20,1107,998
2025-08-21,999,1033
2025-08-22,892,1001
2025-08-23,1042,951
2025-08-24,944,956
2025-08-25,1070,940
2025-08-26,932,1021
2025-08-27,987,981
2025-08-28,1023,1005
2025-08-29,1104,970
2025-08-30,1037,1030
2025-08-31,858,1025
2025-09-01,1045,999
2025-09-02,928,1008
2025-09-03,1094,1019
2025-09-04,896,1019
2025-09-05,1112,1018
2025-09-06,966,1052
2025-09-07,917,948
2025-09-08,1059,996
2025-09-09,1032,1017
2025-09-10,1021,1008
2025-09-11,1130,976
2025-09-12,1036,1032
2025-09-13,1036,1030
2025-09-14,1046,991
2025-09-15,953,1033
2025-09-16,1051,972
2025-09-17,1029,1016
2025-09-18,980,1032
2025-09-19,1192,1016
2025-09-20,948,1051
2025-09-21,826,989
2025-09-22,1133,964
2025-09-23,1217,1028
2025-09-24,1041,1091
2025-09-25,857,1050
2025-09-26,1048,1031
2025-09-27,1011,1053
2025-09-28,1191,1010
2025-09-29,1079,1074
2025-09-30,1253,1061
2025-10-01,1428,1216
2025-10-02,1139,1360
2025-10-03,1447,1112
2025-10-04,1302,1340
2025-10-05,1123,1150
2025-10-06,1056,1095
2025-10-07,1084,1093
2025-10-08,1220,1094
2025-10-09,945,1193
2025-10-10,1178,1096
2025-10-11,1084,1086
2025-10-12,1272,1048
2025-10-13,1071,1185
2025-10-14,1244,1110
2025-10-15,1432,1214
2025-10-16,1550,1341
2025-10-17,1611,1341
2025-10-18,1407,1370
2025-10-19,1518,1338
2025-10-20,1608,1296
2025-10-21,1443,1295
2025-10-22,1360,1309
2025-10-23,1097,1201
2025-10-24,1081,1152
2025-10-25,1090,1153
2025-10-26,1102,1132
2025-10-27,940,1110
2025-10-28,957,1091
2025-10-29,1210,1089
2025-10-30,1053,1146
2025-10-31,933,1088
2025-11-01,1214,1058
2025-11-02,1155,1176
2025-11-03,1046,1037
2025-11-04,1002,1068
2025-11-05,1267,1091
2025-11-06,1151,1168
2025-11-07,1415,1099
2025-11-08,1181,1319
2025-11-09,1167,1108
2025-11-10,1095,1093
2025-11-11,1194,1083
2025-11-12,1248,1105
2025-11-13,1233,1167
2025-11-14,1140,1188
2025-11-15,1104,1098
2025-11-16,1089,1098
2025-11-17,1180,1095
2025-11-18,1256,1088
2025-11-19,1146,1195
2025-11-20,1084,1100
2025-11-21,1220,1111
2025-11-22,1123,1233
2025-11-23,1220,1081
2025-11-24,911,1217
2025-11-25,1048,1098
2025-11-26,1116,1141
2025-11-27,914,1134
2025-11-28,1099,1084
2025-11-29,1062,1095
2025-11-30,1116,1080
2025-12-01,1145,1033
2025-12-02,1041,1026
2025-12-03,1034,1064
2025-12-04,1057,1021
2025-12-05,1221,1043
2025-12-06,999,1216
2025-12-07,995,1030
2025-12-08,1099,1054
2025-12-09,1044,1035
2025-12-10,1185,1058
2025-12-11,1062,1048
2025-12-12,1191,1072
2025-12-13,994,1061
2025-12-14,1072,1039
2025-12-15,1035,1083
2025-12-16,960,1092
2025-12-17,987,1057
2025-12-18,1122,1049
2025-12-19,1097,1083
2025-12-20,1116,1087
2025-12-21,1195,1069
2025-12-22,1286,1086
2025-12-23,974,1176
2025-12-24,1113,1099
2025-12-25,1104,1114
2025-12-26,1413,1119
2025-12-27,1111,1340
2025-12-28,1142,1065
2025-12-29,958,1084
2025-12-30,969,1089
2025-12-31,1170,1088
