Date,Actual_Demand,Forecast_Demand,Base_Agents_Required,Agents_With_Safety_Buffer,Recommended_Agents,Planned_Delivery_Capacity,Capacity_Surplus,Demand_Risk,Expected_Utilization_Percent,Actual_vs_Forecast,Actual_Capacity_Gap,Month
2025-08-13,937,1040,42,49,49,1225,185,Normal,84.9,-103,-288,2025-08
2025-08-14,999,991,40,46,47,1175,184,Normal,84.34,8,-176,2025-08
2025-08-15,1190,1044,42,49,50,1250,206,Normal,83.52,146,-60,2025-08
2025-08-16,867,1057,43,50,50,1250,193,Normal,84.56,-190,-383,2025-08
2025-08-17,888,955,39,45,45,1125,170,Normal,84.89,-67,-237,2025-08
2025-08-18,937,952,39,45,45,1125,173,Normal,84.62,-15,-188,2025-08
2025-08-19,940,973,39,45,46,1150,177,Normal,84.61,-33,-210,2025-08
2025-08-20,1107,998,40,46,47,1175,177,Normal,84.94,109,-68,2025-08
2025-08-21,999,1033,42,49,49,1225,192,Normal,84.33,-34,-226,2025-08
2025-08-22,892,1001,41,48,48,1200,199,Normal,83.42,-109,-308,2025-08
2025-08-23,1042,951,39,45,45,1125,174,Normal,84.53,91,-83,2025-08
2025-08-24,944,956,39,45,45,1125,169,Normal,84.98,-12,-181,2025-08
2025-08-25,1070,940,38,44,45,1125,185,Normal,83.56,130,-55,2025-08
2025-08-26,932,1021,41,48,49,1225,204,Normal,83.35,-89,-293,2025-08
2025-08-27,987,981,40,46,47,1175,194,Normal,83.49,6,-188,2025-08
2025-08-28,1023,1005,41,48,48,1200,195,Normal,83.75,18,-177,2025-08
2025-08-29,1104,970,39,45,46,1150,180,Normal,84.35,134,-46,2025-08
2025-08-30,1037,1030,42,49,49,1225,195,Normal,84.08,7,-188,2025-08
2025-08-31,858,1025,41,48,49,1225,200,Normal,83.67,-167,-367,2025-08
2025-09-01,1045,999,40,46,48,1200,201,Normal,83.25,46,-155,2025-09
2025-09-02,928,1008,41,48,48,1200,192,Normal,84.0,-80,-272,2025-09
2025-09-03,1094,1019,41,48,48,1200,181,Normal,84.92,75,-106,2025-09
2025-09-04,896,1019,41,48,48,1200,181,Normal,84.92,-123,-304,2025-09
2025-09-05,1112,1018,41,48,48,1200,182,Normal,84.83,94,-88,2025-09
2025-09-06,966,1052,43,50,50,1250,198,Normal,84.16,-86,-284,2025-09
2025-09-07,917,948,38,44,45,1125,177,Normal,84.27,-31,-208,2025-09
2025-09-08,1059,996,40,46,47,1175,179,Normal,84.77,63,-116,2025-09
2025-09-09,1032,1017,41,48,48,1200,183,Normal,84.75,15,-168,2025-09
2025-09-10,1021,1008,41,48,48,1200,192,Normal,84.0,13,-179,2025-09
2025-09-11,1130,976,40,46,46,1150,174,Normal,84.87,154,-20,2025-09
2025-09-12,1036,1032,42,49,49,1225,193,Normal,84.24,4,-189,2025-09
2025-09-13,1036,1030,42,49,49,1225,195,Normal,84.08,6,-189,2025-09
2025-09-14,1046,991,40,46,47,1175,184,Normal,84.34,55,-129,2025-09
2025-09-15,953,1033,42,49,49,1225,192,Normal,84.33,-80,-272,2025-09
2025-09-16,1051,972,39,45,46,1150,178,Normal,84.52,79,-99,2025-09
2025-09-17,1029,1016,41,48,48,1200,184,Normal,84.67,13,-171,2025-09
2025-09-18,980,1032,42,49,49,1225,193,Normal,84.24,-52,-245,2025-09
2025-09-19,1192,1016,41,48,48,1200,184,Normal,84.67,176,-8,2025-09
2025-09-20,948,1051,43,50,50,1250,199,Normal,84.08,-103,-302,2025-09
2025-09-21,826,989,40,46,47,1175,186,Normal,84.17,-163,-349,2025-09
2025-09-22,1133,964,39,45,46,1150,186,Normal,83.83,169,-17,2025-09
2025-09-23,1217,1028,42,49,49,1225,197,Normal,83.92,189,-8,2025-09
2025-09-24,1041,1091,44,51,52,1300,209,Medium,83.92,-50,-259,2025-09
2025-09-25,857,1050,42,49,50,1250,200,Normal,84.0,-193,-393,2025-09
2025-09-26,1048,1031,42,49,49,1225,194,Normal,84.16,17,-177,2025-09
2025-09-27,1011,1053,43,50,50,1250,197,Normal,84.24,-42,-239,2025-09
2025-09-28,1191,1010,41,48,48,1200,190,Normal,84.17,181,-9,2025-09
2025-09-29,1079,1074,43,50,51,1275,201,Normal,84.24,5,-196,2025-09
2025-09-30,1253,1061,43,50,50,1250,189,Normal,84.88,192,3,2025-09
2025-10-01,1428,1216,49,57,58,1450,234,High,83.86,212,-22,2025-10
2025-10-02,1139,1360,55,64,64,1600,240,High,85.0,-221,-461,2025-10
2025-10-03,1447,1112,45,52,53,1325,213,Medium,83.92,335,122,2025-10
2025-10-04,1302,1340,54,63,64,1600,260,High,83.75,-38,-298,2025-10
2025-10-05,1123,1150,46,53,55,1375,225,Medium,83.64,-27,-252,2025-10
2025-10-06,1056,1095,44,51,52,1300,205,Medium,84.23,-39,-244,2025-10
2025-10-07,1084,1093,44,51,52,1300,207,Medium,84.08,-9,-216,2025-10
2025-10-08,1220,1094,44,51,52,1300,206,Medium,84.15,126,-80,2025-10
2025-10-09,945,1193,48,56,57,1425,232,High,83.72,-248,-480,2025-10
